"Timestamp","DeviceID","Channel","SensorName","SensorID","DataType","Unit","Value"
"2022-04-05T09:11:29.153Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.023"
"2022-04-05T09:11:28.151Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.023"
"2022-04-05T09:11:27.143Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.392"
"2022-04-05T09:11:26.137Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.207"
"2022-04-05T09:11:25.134Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.947"
"2022-04-05T09:11:24.129Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.115"
"2022-04-05T09:11:23.119Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.299"
"2022-04-05T09:11:22.115Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.299"
"2022-04-05T09:11:21.416Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","28.29"
"2022-04-05T09:11:20.122Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.761"
"2022-04-05T09:11:19.103Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","28.931"
"2022-04-05T09:11:18.099Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.299"
"2022-04-05T09:11:17.098Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","28.656"
"2022-04-05T09:11:16.092Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.299"
"2022-04-05T09:11:15.113Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","30.226"
"2022-04-05T09:11:14.076Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","30.04"
"2022-04-05T09:11:13.079Z","942fbba0-b3ed-11ec-9f5b-45181495093e","0","Channel 0","56c27db0-b4c0-11ec-9f5b-45181495093e","Temp","C","29.299"
